index,ContractAge,Position,Nationality,Height,Overall Pick,GAMES_PLAYED_t,G_t,A_t,P_t,PLUS_MINUS_t,PIM_t,GP_PLAYOFF_t,G_PLAYOFF_t,A_PLAYOFF_t,P_PLAYOFF_t,PLUS_MINUS_PLAYOFF_t,PIM_PLAYOFF_t,TOI_t,ixG_t,xG±/60_t,RelxG±/60_t,C±/60_t,RelC±/60_t,TOI_PLAYOFF_t,ixG_PLAYOFF_t,xG±/60_PLAYOFF_t,RelxG±/60_PLAYOFF_t,C±/60_PLAYOFF_t,RelC±/60_PLAYOFF_t,G_PG_t,P_PG_t,PIM_PG_t,G_PG_PLAYOFF_t,P_PG_PLAYOFF_t,GAMES_PLAYED_t1,G_t1,A_t1,P_t1,PLUS_MINUS_t1,PIM_t1,GP_PLAYOFF_t1,G_PLAYOFF_t1,A_PLAYOFF_t1,P_PLAYOFF_t1,PLUS_MINUS_PLAYOFF_t1,PIM_PLAYOFF_t1,TOI_t1,ixG_t1,xG±/60_t1,RelxG±/60_t1,C±/60_t1,RelC±/60_t1,TOI_PLAYOFF_t1,ixG_PLAYOFF_t1,xG±/60_PLAYOFF_t1,RelxG±/60_PLAYOFF_t1,C±/60_PLAYOFF_t1,RelC±/60_PLAYOFF_t1,G_PG_t1,P_PG_t1,PIM_PG_t1,G_PG_PLAYOFF_t1,P_PG_PLAYOFF_t1,GAMES_PLAYED_t2,G_t2,A_t2,P_t2,PLUS_MINUS_t2,PIM_t2,GP_PLAYOFF_t2,G_PLAYOFF_t2,A_PLAYOFF_t2,P_PLAYOFF_t2,PLUS_MINUS_PLAYOFF_t2,PIM_PLAYOFF_t2,TOI_t2,ixG_t2,xG±/60_t2,RelxG±/60_t2,C±/60_t2,RelC±/60_t2,TOI_PLAYOFF_t2,ixG_PLAYOFF_t2,xG±/60_PLAYOFF_t2,RelxG±/60_PLAYOFF_t2,C±/60_PLAYOFF_t2,RelC±/60_PLAYOFF_t2,G_PG_t2,P_PG_t2,PIM_PG_t2,G_PG_PLAYOFF_t2,P_PG_PLAYOFF_t2,GAMES_PLAYED_avg,G_avg,A_avg,P_avg,PLUS_MINUS_avg,PIM_avg,GP_PLAYOFF_avg,G_PLAYOFF_avg,A_PLAYOFF_avg,P_PLAYOFF_avg,PLUS_MINUS_PLAYOFF_avg,PIM_PLAYOFF_avg,TOI_avg,ixG_avg,xG±/60_avg,RelxG±/60_avg,C±/60_avg,RelC±/60_avg,TOI_PLAYOFF_avg,ixG_PLAYOFF_avg,xG±/60_PLAYOFF_avg,RelxG±/60_PLAYOFF_avg,C±/60_PLAYOFF_avg,RelC±/60_PLAYOFF_avg,G_PG_avg,P_PG_avg,PIM_PG_avg,G_PG_PLAYOFF_avg,P_PG_PLAYOFF_avg,Current Salary
Alex Galchenyuk,29.0,C,USA,73.0,3.0,11.0,0.0,0.0,0.0,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016666666666667,0.55,-0.5,-0.69,-15.65,-18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,60.0,6.0,15.0,21.0,-11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,7.11,-1.43,-0.51,-23.81,-6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.35,0.5333333333333333,0.0,0.0,8.0,1.0,0.0,1.0,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.466666666666667,0.65,-0.38,-0.16,-14.31,-7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.75,0.0,0.0,26.333333333333332,2.3333333333333335,5.0,7.333333333333333,-8.333333333333334,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.861111111111112,2.77,-0.77,-0.4533333333333333,-17.923333333333336,-10.636666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15833333333333333,0.548989898989899,0.0,0.0,"$750,000"
Anthony Angello,27.0,C,USA,77.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616666666666667,0.08,-0.68,-0.95,-10.81,-13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,19.0,2.0,2.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133333333333333,0.6,0.19,0.28,6.73,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367,0.42105263157894735,0.0,0.0,11.5,1.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875,0.33999999999999997,-0.24500000000000002,-0.33499999999999996,-2.04,-3.4849999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.4605263157894737,0.0,0.0,"$750,000"
Evan Rodrigues,30.0,C,CAN,71.0,121.0,69.0,16.0,23.0,39.0,7.0,30.0,7.0,1.0,4.0,5.0,4.0,2.0,15.566666666666666,13.07,0.69,0.47,17.29,9.41,17.666666666666668,1.24,-0.15,-0.22,2.89,-1.72,0.2318840579710145,0.5652173913043478,0.43478260869565216,0.14285714285714285,0.7142857142857143,82.0,19.0,24.0,43.0,3.0,14.0,7.0,3.0,2.0,5.0,-2.0,4.0,13.933333333333334,16.52,0.88,0.46,16.52,10.75,14.333333333333334,1.87,1.75,0.66,22.3,17.61,0.23170731707317074,0.524390243902439,0.17073170731707318,0.42857142857142855,0.7142857142857143,35.0,7.0,7.0,14.0,-3.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,13.133333333333333,4.09,-0.1,-0.07,2.52,-0.06,11.85,0.16,0.55,0.47,11.1,-7.72,0.2,0.4,0.17142857142857143,0.0,0.5,62.0,14.0,18.0,32.0,2.3333333333333335,16.666666666666668,5.333333333333333,1.3333333333333333,2.3333333333333335,3.6666666666666665,1.0,2.0,14.21111111111111,11.226666666666667,0.48999999999999994,0.2866666666666666,12.110000000000001,6.7,14.616666666666667,1.09,0.7166666666666668,0.30333333333333334,12.096666666666666,2.7233333333333327,0.22119712501472844,0.4965358784022622,0.25898096248043223,0.19047619047619047,0.6428571428571429,"$2,000,000"
Radim Zohorna,27.0,L,CZE,78.0,121.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.42,0.56,0.63,14.81,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,17.0,2.0,4.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.766666666666667,1.67,0.92,0.54,16.13,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.35294117647058826,0.23529411764705882,0.0,0.0,8.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.68,0.02,0.14,5.72,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,9.0,1.6666666666666667,2.0,3.6666666666666665,5.666666666666667,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,9.88888888888889,0.9233333333333333,0.5,0.4366666666666667,12.219999999999999,11.126666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.28921568627450983,0.45098039215686275,0.2450980392156863,0.0,0.0,"$750,000"
Danton Heinen,28.0,L,CAN,73.0,116.0,65.0,8.0,14.0,22.0,-5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933333333333334,8.97,0.33,0.04,1.93,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.3384615384615385,0.18461538461538463,0.0,0.0,76.0,18.0,15.0,33.0,6.0,16.0,7.0,3.0,0.0,3.0,-1.0,4.0,12.4,15.4,0.91,0.48,10.68,4.63,15.2,1.5,0.83,-0.52,7.76,-2.25,0.23684210526315788,0.4342105263157895,0.21052631578947367,0.42857142857142855,0.42857142857142855,43.0,7.0,7.0,14.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.366666666666667,6.56,-0.57,-0.13,-6.72,-2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.32558139534883723,0.0,0.0,0.0,61.333333333333336,11.0,12.0,23.0,-2.6666666666666665,9.333333333333334,2.3333333333333335,1.0,0.0,1.0,-0.3333333333333333,1.3333333333333333,12.233333333333334,10.31,0.22333333333333336,0.13,1.9633333333333332,0.48999999999999994,5.066666666666666,0.5,0.27666666666666667,-0.17333333333333334,2.5866666666666664,-0.75,0.1742365753381665,0.3660844867087218,0.13171390013495277,0.14285714285714285,0.14285714285714285,"$1,000,000"
Patrice Bergeron,38.0,C,CAN,73.0,45.0,78.0,27.0,31.0,58.0,35.0,22.0,3.0,1.0,0.0,1.0,-6.0,0.0,12.45,15.06,1.44,0.76,25.79,14.91,14.1,0.67,0.4,0.54,29.73,18.13,0.34615384615384615,0.7435897435897436,0.28205128205128205,0.3333333333333333,0.3333333333333333,73.0,25.0,40.0,65.0,26.0,32.0,7.0,3.0,4.0,7.0,3.0,4.0,13.25,14.05,1.93,0.98,38.4,20.76,12.133333333333333,2.43,2.36,1.48,27.63,19.17,0.3424657534246575,0.8904109589041096,0.4383561643835616,0.42857142857142855,1.0,54.0,23.0,25.0,48.0,27.0,16.0,11.0,4.0,5.0,9.0,1.0,4.0,13.1,8.89,0.86,0.31,28.72,11.23,14.833333333333334,2.14,0.89,-0.06,24.64,3.67,0.42592592592592593,0.8888888888888888,0.2962962962962963,0.36363636363636365,0.8181818181818182,68.33333333333333,25.0,32.0,57.0,29.333333333333332,23.333333333333332,7.0,2.6666666666666665,3.0,5.666666666666667,-0.6666666666666666,2.6666666666666665,12.933333333333332,12.666666666666666,1.4100000000000001,0.6833333333333332,30.97,15.633333333333335,13.68888888888889,1.7466666666666668,1.2166666666666666,0.6533333333333333,27.333333333333332,13.656666666666666,0.37151517516814314,0.8409631971275807,0.3389012475770466,0.3751803751803752,0.7171717171717171,"$2,500,000"
David Krejci,37.0,C,CZE,72.0,63.0,70.0,16.0,40.0,56.0,23.0,20.0,4.0,1.0,3.0,4.0,-3.0,0.0,14.416666666666666,9.07,-0.33,-0.71,-2.95,-9.14,16.2,0.09,-1.99,-1.85,-13.84,-24.04,0.22857142857142856,0.8,0.2857142857142857,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,36.0,44.0,16.0,16.0,11.0,2.0,7.0,9.0,0.0,2.0,14.483333333333333,5.75,0.64,0.23,16.43,3.13,16.95,1.95,1.24,0.69,16.97,6.99,0.1568627450980392,0.8627450980392157,0.3137254901960784,0.18181818181818182,0.8181818181818182,60.5,12.0,38.0,50.0,19.5,18.0,7.5,1.5,5.0,6.5,-1.5,1.0,14.45,7.41,0.155,-0.24,6.74,-3.0050000000000003,16.575,1.02,-0.375,-0.5800000000000001,1.5649999999999995,-8.524999999999999,0.19271708683473388,0.8313725490196079,0.29971988795518206,0.2159090909090909,0.9090909090909092,"$1,000,000"
Milan Lucic,35.0,L,CAN,75.0,50.0,77.0,7.0,12.0,19.0,-13.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,9.25,-0.07,-0.47,9.99,-5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.24675324675324675,0.5584415584415584,0.0,0.0,82.0,10.0,11.0,21.0,-9.0,84.0,12.0,0.0,1.0,1.0,-3.0,33.0,11.966666666666667,8.03,-0.09,-0.43,10.84,-3.57,10.2,0.38,0.02,-0.55,23.3,0.03,0.12195121951219512,0.25609756097560976,1.024390243902439,0.0,0.08333333333333333,56.0,10.0,13.0,23.0,-8.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,12.916666666666666,4.34,0.19,-0.04,2.6,-3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.4107142857142857,0.8214285714285714,0.0,0.0,71.66666666666667,9.0,12.0,21.0,-10.0,57.666666666666664,4.0,0.0,0.3333333333333333,0.3333333333333333,-1.0,11.0,12.277777777777777,7.206666666666667,0.01,-0.3133333333333333,7.81,-4.27,3.4,0.12666666666666668,0.006666666666666667,-0.18333333333333335,7.766666666666667,0.01,0.13047724633090488,0.3045216978143807,0.8014201245908564,0.0,0.027777777777777776,"$6,000,000"
Matt Irwin,36.0,D,CAN,74.0,121.0,61.0,2.0,3.0,5.0,-8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05,2.29,-0.4,-0.36,-4.08,-3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.08196721311475409,0.5901639344262295,0.0,0.0,17.0,1.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933333333333334,0.47,1.01,0.85,15.16,12.76,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.0,0.0,24.0,0.0,2.0,2.0,-10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.77,-1.09,-0.54,-19.47,-9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.7916666666666666,0.0,0.0,34.0,1.0,2.6666666666666665,3.6666666666666665,-6.0,20.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,13.694444444444445,1.1766666666666665,-0.16000000000000003,-0.01666666666666668,-2.7966666666666664,-0.033333333333333805,0.0,0.0,0.0,0.0,0.0,0.0,0.03053680488588878,0.13353155469838207,0.5782572591878282,0.0,0.0,"$750,000"
Noel Acciari,32.0,C,USA,70.0,121.0,54.0,10.0,8.0,18.0,-6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.466666666666667,9.92,-0.24,0.33,-14.18,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.3333333333333333,0.18518518518518517,0.0,0.0,20.0,3.0,5.0,8.0,2.0,11.0,9.0,0.0,0.0,0.0,-5.0,0.0,11.5,4.24,0.73,0.0,14.84,-1.46,10.3,0.28,0.23,0.2,8.77,-4.61,0.15,0.4,0.55,0.0,0.0,41.0,4.0,7.0,11.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,12.7,5.45,0.09,-0.28,-3.96,-11.19,10.516666666666667,0.49,-0.21,-0.19,-5.42,-7.56,0.0975609756097561,0.2682926829268293,0.21951219512195122,0.0,0.0,38.333333333333336,5.666666666666667,6.666666666666667,12.333333333333334,-1.3333333333333333,10.0,5.0,0.0,0.0,0.0,-1.3333333333333333,0.0,12.555555555555557,6.536666666666666,0.19333333333333333,0.016666666666666663,-1.0999999999999999,-5.25,6.93888888888889,0.25666666666666665,0.006666666666666672,0.003333333333333336,1.1166666666666665,-4.056666666666667,0.1442487202649804,0.33387533875338754,0.31823246010237877,0.0,0.0,"$1,250,000"
Ryan Donato,27.0,C,USA,72.0,56.0,71.0,14.0,13.0,27.0,16.0,46.0,14.0,0.0,2.0,2.0,-2.0,12.0,11.616666666666667,10.59,0.13,-0.07,5.34,-1.06,9.9,2.04,-0.41,0.04,0.63,0.76,0.19718309859154928,0.38028169014084506,0.647887323943662,0.0,0.14285714285714285,74.0,16.0,15.0,31.0,-13.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.716666666666667,11.64,-0.46,-0.22,-4.86,-4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.4189189189189189,0.5405405405405406,0.0,0.0,50.0,6.0,14.0,20.0,-11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.633333333333333,7.2,-0.32,-0.28,-8.35,-1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.4,0.2,0.0,0.0,65.0,12.0,14.0,26.0,-2.6666666666666665,32.0,4.666666666666667,0.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,4.0,11.988888888888889,9.81,-0.21666666666666667,-0.19000000000000003,-2.6233333333333335,-2.38,3.3000000000000003,0.68,-0.13666666666666666,0.013333333333333334,0.21,0.25333333333333335,0.1777997716025885,0.39973353635325465,0.4628092881614008,0.0,0.047619047619047616,"$1,200,000"
Gemel Smith,29.0,C,CAN,70.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.01,-3.16,-2.67,-54.3,-42.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,5.0,0.0,3.0,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.566666666666666,0.1,-1.18,-1.14,-10.72,-8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,0.0,0.0,4.0,0.0,2.0,2.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133333333333333,0.055,-2.17,-1.9049999999999998,-32.51,-25.334999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,1.9333333333333336,0.0,0.0,"$750,000"
Connor Clifton,28.0,D,USA,71.0,133.0,78.0,5.0,18.0,23.0,20.0,60.0,3.0,0.0,0.0,0.0,-4.0,2.0,16.716666666666665,4.78,0.23,-0.14,1.61,-2.25,14.916666666666666,0.19,-2.11,-1.45,-21.17,-22.47,0.0641025641025641,0.2948717948717949,0.7692307692307693,0.0,0.0,60.0,2.0,8.0,10.0,-2.0,32.0,7.0,1.0,1.0,2.0,1.0,8.0,15.516666666666667,2.33,0.33,-0.21,8.97,0.09,15.7,0.27,-0.3,-0.13,-9.99,-0.78,0.03333333333333333,0.16666666666666666,0.5333333333333333,0.14285714285714285,0.2857142857142857,44.0,1.0,6.0,7.0,10.0,38.0,10.0,0.0,0.0,0.0,0.0,2.0,17.166666666666668,1.47,0.17,-0.02,2.52,-6.52,16.666666666666668,0.6,0.7,0.41,8.1,3.3,0.022727272727272728,0.1590909090909091,0.8636363636363636,0.0,0.0,60.666666666666664,2.6666666666666665,10.666666666666666,13.333333333333334,9.333333333333334,43.333333333333336,6.666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1.0,4.0,16.46666666666667,2.86,0.24333333333333337,-0.12333333333333334,4.366666666666666,-2.893333333333333,15.761111111111111,0.35333333333333333,-0.57,-0.39000000000000007,-7.686666666666667,-6.6499999999999995,0.04005439005439005,0.20687645687645687,0.722066822066822,0.047619047619047616,0.09523809523809523,"$1,000,000"
Karson Kuhlman,28.0,C,USA,70.0,121.0,14.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.316666666666666,1.2,-0.5,-0.71,0.66,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,19.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.016666666666667,2.58,0.13,-0.34,-13.12,-19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,20.0,2.0,0.0,2.0,-6.0,0.0,3.0,0.0,1.0,1.0,-2.0,2.0,11.066666666666666,1.75,0.24,0.12,11.52,4.91,9.766666666666667,0.27,-0.84,-1.14,11.9,5.41,0.1,0.1,0.0,0.0,0.3333333333333333,17.666666666666668,1.3333333333333333,1.0,2.3333333333333335,-1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.6666666666666666,10.466666666666667,1.8433333333333335,-0.043333333333333335,-0.31,-0.3133333333333332,-6.646666666666667,3.255555555555556,0.09000000000000001,-0.27999999999999997,-0.37999999999999995,3.966666666666667,1.8033333333333335,0.07468671679197995,0.13984962406015036,0.0,0.0,0.1111111111111111,"$825,000"
Brett Ritchie,30.0,R,CAN,76.0,44.0,34.0,6.0,2.0,8.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,10.166666666666666,3.8,-0.18,-0.5,7.35,-7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.23529411764705882,0.6764705882352942,0.0,0.0,41.0,3.0,1.0,4.0,-6.0,29.0,7.0,2.0,0.0,2.0,-1.0,4.0,10.566666666666666,4.54,0.75,0.42,18.46,3.58,9.516666666666667,0.85,1.07,0.65,31.7,9.13,0.07317073170731707,0.0975609756097561,0.7073170731707317,0.2857142857142857,0.2857142857142857,32.0,4.0,4.0,8.0,-5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316666666666666,4.09,-0.4,-0.66,1.85,-3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.75,0.0,0.0,35.666666666666664,4.333333333333333,2.3333333333333335,6.666666666666667,-3.0,25.333333333333332,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,-0.3333333333333333,1.3333333333333333,11.016666666666666,4.1433333333333335,0.05666666666666668,-0.24666666666666667,9.22,-2.31,3.1722222222222225,0.2833333333333333,0.3566666666666667,0.21666666666666667,10.566666666666666,3.0433333333333334,0.1248804399808704,0.194285031085605,0.7112625538020086,0.09523809523809523,0.09523809523809523,"$750,000"
Ondrej Kase,28.0,R,CZE,72.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.116666666666667,0.07,3.09,1.86,76.04,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.0,13.0,27.0,4.0,14.0,7.0,0.0,3.0,3.0,-1.0,6.0,12.483333333333333,9.09,-0.02,-0.61,3.61,-6.43,8.616666666666667,0.61,-1.02,-0.77,-11.96,-7.47,0.28,0.54,0.28,0.0,0.42857142857142855,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.016666666666667,0.61,1.77,1.3,31.43,18.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.666666666666667,4.333333333333333,9.0,1.3333333333333333,4.666666666666667,2.3333333333333335,0.0,1.0,1.0,-0.3333333333333333,2.0,10.53888888888889,3.2566666666666664,1.6133333333333333,0.85,37.02666666666667,19.916666666666668,2.8722222222222222,0.20333333333333334,-0.34,-0.25666666666666665,-3.986666666666667,-2.4899999999999998,0.09333333333333334,0.18000000000000002,0.09333333333333334,0.0,0.14285714285714285,"$1,500,000"
Craig Smith,34.0,C,USA,72.0,98.0,42.0,4.0,6.0,10.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.833333333333334,4.34,0.43,0.0,6.17,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.23809523809523808,0.3333333333333333,0.0,0.0,74.0,16.0,20.0,36.0,2.0,28.0,7.0,0.0,0.0,0.0,-5.0,2.0,13.516666666666667,11.9,0.62,-0.08,12.74,1.11,10.2,0.94,-0.38,-0.2,-5.14,3.07,0.21621621621621623,0.4864864864864865,0.3783783783783784,0.0,0.0,54.0,13.0,19.0,32.0,21.0,18.0,10.0,2.0,3.0,5.0,0.0,4.0,13.916666666666666,8.49,0.56,0.21,17.44,5.09,15.816666666666666,2.0,0.59,-0.09,7.84,-3.35,0.24074074074074073,0.5925925925925926,0.3333333333333333,0.2,0.5,56.666666666666664,11.0,15.0,26.0,9.0,20.0,5.666666666666667,0.6666666666666666,1.0,1.6666666666666667,-1.6666666666666667,2.0,12.755555555555555,8.243333333333334,0.5366666666666667,0.043333333333333335,12.116666666666667,2.67,8.672222222222222,0.98,0.06999999999999999,-0.09666666666666668,0.9,-0.09333333333333342,0.1840650173983507,0.4390581057247724,0.3483483483483483,0.06666666666666667,0.16666666666666666,"$3,100,000"
Nick Foligno,36.0,L,USA,72.0,28.0,60.0,10.0,16.0,26.0,18.0,45.0,6.0,1.0,2.0,3.0,0.0,18.0,11.616666666666667,5.57,0.13,-0.23,-2.94,-4.83,10.866666666666667,0.61,-0.72,-0.27,1.73,-1.65,0.16666666666666666,0.43333333333333335,0.75,0.16666666666666666,0.5,64.0,2.0,11.0,13.0,-13.0,61.0,7.0,0.0,1.0,1.0,2.0,4.0,11.65,6.37,0.67,0.15,9.26,1.3,10.216666666666667,0.32,0.1,0.47,-6.97,4.97,0.03125,0.203125,0.953125,0.0,0.14285714285714285,42.0,7.0,9.0,16.0,-3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,14.45,5.83,-0.52,-0.05,-8.96,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.38095238095238093,0.6666666666666666,0.0,0.0,55.333333333333336,6.333333333333333,12.0,18.333333333333332,0.6666666666666666,44.666666666666664,4.333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,7.333333333333333,12.572222222222223,5.923333333333335,0.09333333333333334,-0.043333333333333335,-0.8800000000000002,-1.24,7.027777777777779,0.31,-0.20666666666666667,0.06666666666666665,-1.7466666666666668,1.1066666666666667,0.12152777777777778,0.3391369047619048,0.7899305555555555,0.05555555555555555,0.21428571428571427,"$3,800,000"
Erik Haula,32.0,L,FIN,71.0,182.0,80.0,14.0,27.0,41.0,13.0,47.0,12.0,4.0,2.0,6.0,-6.0,15.0,13.95,15.2,0.7,0.0,13.45,1.62,13.983333333333333,1.94,0.18,-0.14,-0.61,-1.12,0.175,0.5125,0.5875,0.3333333333333333,0.5,78.0,18.0,26.0,44.0,19.0,47.0,7.0,1.0,2.0,3.0,-4.0,8.0,13.733333333333333,11.27,0.54,-0.11,6.9,-4.53,13.0,1.09,0.54,0.16,10.83,5.7,0.23076923076923078,0.5641025641025641,0.6025641025641025,0.14285714285714285,0.42857142857142855,51.0,9.0,12.0,21.0,4.0,14.0,6.0,1.0,3.0,4.0,-3.0,4.0,12.9,5.94,-0.4,-0.36,-5.0,-4.11,14.866666666666667,0.53,-1.46,-0.94,-20.12,-4.17,0.17647058823529413,0.4117647058823529,0.27450980392156865,0.16666666666666666,0.6666666666666666,69.66666666666667,13.666666666666666,21.666666666666668,35.333333333333336,12.0,36.0,8.333333333333334,2.0,2.3333333333333335,4.333333333333333,-4.333333333333333,9.0,13.527777777777777,10.803333333333333,0.27999999999999997,-0.15666666666666665,5.116666666666667,-2.3400000000000003,13.950000000000001,1.1866666666666668,-0.24666666666666667,-0.30666666666666664,-3.3000000000000003,0.13666666666666671,0.19407993966817497,0.49612242332830564,0.4881913021618904,0.21428571428571427,0.5317460317460317,"$2,375,000"
